Project,,(p) Wolftrack 3.0,,
Does your documentation list all third-party dependencies?,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
Does your documentation list the version number for all third-party dependencies?,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,No versions mentioned.
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",Yes,2,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
Can you download dependencies using a dependency management tool or package manager?,Yes,2,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/requirements.txt,
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/LICENSE,
Do you have an automated test suite for your software?,Yes,2,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/LICENSE,
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,0,,
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,3,CI pipeline implemented,
Are your test results publicly visible?,Yes,2,"Test Suites: 1 passed, 1 total
Tests:       20 passed, 20 total",
Are all manually-run tests documented?,Yes,2,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?
 e.g. release announcements, publications, workshops, conference presentations",No,0,,
Does your website state how many projects and users are associated with your project?,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
Do you provide success stories on your website?,No,0,,
Do you list your important partners and collaborators on your website?,Yes ,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
Do you list your project's publications on your website or link to a resource where these are available?,No,0,,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,Yes ,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
Can users subscribe to notifications to changes to your source code repository?,No ,0,,
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",No,0,,
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,2,https://github.com/nehajaideep/WolfTrack3.0/graphs/contributors,
Do you have a contributions policy?,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/graphs/contributors,
Is your contributions' policy publicly available?,Yes,2,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/CONTRIBUTING.md,
Do contributors keep the copyright/IP of their contributions?,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/CONTRIBUTING.md,
Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
Does each of your source code files include a copyright statement?,Yes,2,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
Does your website and documentation clearly state the licence of your software?,Yes,2,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
Is your software released under an open source licence?,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
Is your software released under an OSI-approved open-source licence?,Yes,2,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
Does each of your source code files include a licence header?,No ,0,,
Do you have a recommended citation for your software?,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,0,,
"Do you make timely announcements of the deprecation of components, APIs, etc.?",no,0,,
,,,,
,,,,
"1.1 Does your website and documentation provide a clear, high-level overview of your software?",Yes,2,https://github.com/nehajaideep/WolfTrack3.0#readme,
1.2 Does your website and documentation clearly describe the type of user who should use your software?,Yes,3,https://github.com/nehajaideep/WolfTrack3.0#readme,
1.3 Do you publish case studies to show how your software has been used by yourself and others?,Yes,2,https://github.com/nehajaideep/WolfTrack3.0#readme,
,,,,
2.1 Is the name of your project/software unique?,Yes,3,Based on nc state's wolfpack,
2.2 Is your project/software name free from trademark violations?,Yes,2,No copyright infrigements,
,,,,
3.1 Is your software available as a package that can be deployed without building it?,No,0,Docker build needed,
3.2 Is your software available for free?,Yes,2,Except for AWS,
"3.3 Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,3,https://github.com/nehajaideep/WolfTrack3.0#readme,
"3.4 Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,3,https://github.com/nehajaideep/WolfTrack3.0#readme,
,,,,
4.1 Is your documentation clearly available on your website or within your software?,Yes,2,https://github.com/nehajaideep/WolfTrack3.0#readme,
"4.2 Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples",No,0,https://github.com/nehajaideep/WolfTrack3.0#readme,
"4.3 If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,2,https://github.com/nehajaideep/WolfTrack3.0#readme,
"4.4 Do you provide a comprehensive guide to all your software’s commands, functions and options?",No,0,,
4.5 Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,Yes,2,https://github.com/nehajaideep/WolfTrack3.0#readme,
"4.6 If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",No,0,,
4.7 Do you store your documentation under revision control with your source code?,Yes,2,https://github.com/nehajaideep/WolfTrack3.0#readme,
"4.8 Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",No,0,,
,,,,
5.1 Does your software describe how a user can get help with using your software?,No,0,,
"5.2 Does your website and documentation describe what support, if any, you provide to users and developers?",No,0,,
5.3 Does your project have an e-mail address or forum that is solely for supporting users?,No,0,,
5.4 Are e-mails to your support e-mail address received by more than one person?,No,0,,
5.5 Does your project have a ticketing system to manage bug reports and feature requests?,No,0,,
"5.6 Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",No,0,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
